druckort,dbsm_count,location,lat,lon
Danzig,,"Gdańsk, powiat gdański, województwo pomorskie, Polska",54.36143405,18.62821847557274
Delft,2.0,"Delft, Zuid-Holland, Nederland",51.999457199999995,4.362724538543995
Deutschland,,Deutschland,51.0834196,10.4234469
Deventer,3.0,"Deventer, Overijssel, Nederland",52.2695736,6.236339604766698
Dijon,,"Dijon, Côte-d'Or, Bourgogne-Franche-Comté, France métropolitaine, 21000, France",47.3215806,5.0414701
Dôle,,"Dole, Jura, Bourgogne-Franche-Comté, France métropolitaine, 39100, France",47.0921047,5.4925463
Eichstätt,,"Eichstätt, Landkreis Eichstätt, Bayern, 85072, Deutschland",48.8933417,11.1838965
Elsass,,"Alsace, France métropolitaine, France",48.24917645,7.4074699518555
Eltville,1.0,"Eltville, Eltville am Rhein, Rheingau-Taunus-Kreis, Hessen, 65343, Deutschland",50.05575125,8.08935315370493
Embrun,,"Embrun, Gap, Hautes-Alpes, Provence-Alpes-Côte d'Azur, France métropolitaine, 05200, France",44.5641764,6.4958189
England,,"England, United Kingdom",52.5310214,-1.2649062
Erfurt,3.0,"Erfurt, Thüringen, Deutschland",50.9777974,11.0287364
Esslingen,5.0,"Esslingen am Neckar, Landkreis Esslingen, Baden-Württemberg, Deutschland",48.7427584,9.3071685
Evora,,"Évora, Alentejo, Portugal",38.5707742,-7.9092808
Faenza,,"Faenza, Unione della Romagna Faentina, Ravenna, Emilia-Romagna, 48018, Italia",44.2855555,11.8832055
Fano,,"Fano, Pesaro e Urbino, Marche, 61032, Italia",43.8424173,13.0146632
Faro,,Faro,37.019581751397325, -7.931176187400849
Ferrara,4.0,"Ferrara, Emilia-Romagna, Italia",44.766764249999994,11.827938995640167
Fivizzano,,"Fivizzano, Unione di comuni Montana Lunigiana, Massa-Carrara, Toscana, 54013, Italia",44.23835,10.12599
Florenz,3.0,"Firenze, Toscana, Italia",43.7698712,11.2555757
Foligno,1.0,"Foligno, Perugia, Umbria, 06034, Italia",42.9561825,12.703334
Forlì,,"Forlì, Unione di Comuni della Romagna Forlivese, Forlì-Cesena, Emilia-Romagna, Italia",44.2227278,12.041273
Frankfurt (Oder),,"Frankfurt (Oder), Brandenburg, Deutschland",52.3412273,14.549452
Frankreich,,France,46.603354,1.8883335
Freiberg,,"Freiberg",50.912562479861755, 13.340824351611992
Freiburg,,"Freiburg im Breisgau, Baden-Württemberg, Deutschland",47.9960901,7.8494005
Freising,,"Freising, Landkreis Freising, Bayern, Deutschland",48.4008273,11.7439565
Gaeta,1.0,"Gaeta, Latina, Lazio, 04024, Italia",41.218312,13.56281
Genf,1.0,"Genève, Grand Genève, Genève, Schweiz/Suisse/Svizzera/Svizra",46.2017559,6.1466014
Gent,,"Gent, Oost-Vlaanderen, Vlaanderen, België / Belgique / Belgien",51.0538286,3.7250121
Genua,,"Genova, Liguria, Italia",44.40726,8.9338624
Gerona,,"Girona, Gironès, Girona, Catalunya, España",41.9793006,2.8199439
Gouda,1.0,"Gouda, Krimpenerwaard, Zuid-Holland, Nederland",52.018119350000006,4.711122134697802
