druckort,dbsm_count,location,lat,lon
Varazze,,"Varazze, Savona, Liguria, 17019, Italia",44.3592996,8.5753273
Venedig,132.0,"Venezia, Veneto, Italia",45.4371908,12.3345898
Vercelli,,"Vercelli, Piemonte, Italia",45.55538265,8.346283678327271
Verona,3.0,"Verona, Veneto, Italia",45.4384958,10.9924122
Vicenza,7.0,"Vicenza, Veneto, Italia",45.63485905,11.40635425660249
Vienne,,"Wien, Österreich",48.2083537,16.3725042
Viterbo,,"Viterbo, Lazio, Italia",42.49368885,11.945067829807687
Voghera,,"Voghera, Pavia, Lombardia, 27058, Italia",44.9928402,9.0085929
Wessobrunn,,"Wessobrunn, Landkreis Weilheim-Schongau, Bayern, 82405, Deutschland",47.874215,11.0238794
Westminster,1.0,"Westminster, Millbank, City of Westminster, London, Greater London, England, SW1P 3JX, United Kingdom",51.5004439,-0.1265398
Wien,4.0,"Wien, Österreich",48.2083537,16.3725042
Winterberg,1.0,"Winterberg, Hochsauerlandkreis, Nordrhein-Westfalen, 59955, Deutschland",51.1930723,8.5338466
Wittenberg,,"Wittenberg, Sachsen-Anhalt, Deutschland",51.8666527,12.646761
Würzburg,,"Würzburg, Bayern, Deutschland",49.79245,9.932966
Zamora,,"Zamora, Castilla y León, España",41.6857693,-5.942315018340977
Zaragoza,,"Zaragoza, Aragón, España",41.6521342,-0.8809428
Zengg,,"Senj, Grad Senj, Ličko-senjska županija, 52370, Hrvatska",44.9897329,14.9030557
Zinna,,"Zinna, Sachsen",51.566097552945905, 12.95495319903688
Zürich,,"Zürich, Bezirk Zürich, Zürich, Schweiz/Suisse/Svizzera/Svizra",47.3744489,8.5410422
Zweibrücken,,"Zweibrücken, Rheinland-Pfalz, 66482, Deutschland",49.248655,7.3641981
Zwolle,3.0,"Zwolle, Overijssel, Nederland",52.5089759,6.0943765
